Latitude,Longitude,Organisation Legal Name,Activity Id,Activity/Program Name,Location Name,Location Full Address
-33.33804,115.641945,AGENCIES FOR SOUTH WEST ACCOMMODATION INC,4-Z2EM3S,Children and Parent Support Services,Agencies for South West Accommodation Inc,"26-28 Forrest Avenue, SOUTH BUNBURY WA 6230"
-23.702955,133.877116,AKEYULERRE INCORPORATED,4-Y6YN43,Community Development and Participation Grants,Akeyulerre Inc,"3 Stuart Tce, ALICE SPRINGS NT 0870"
-35.01955296,117.8836871,ALBANY & REGIONAL VOLUNTEER SERVICE INC,4-102UASR,Volunteer Management Program,Albany & Regional Volunteer Service Inc,"Unit 2, 57-59 Lockyer Avenue, ALBANY WA 6330"
-36.08408729,146.911398,ALBURY WODONGA VOLUNTEER RESOURCE BUREAU INC,4-102VU4S,Volunteer Management Program,Albury Wodonga Volunteer Resource Bureau Inc,"596 Hume St, ALBURY NSW 2640"
-36.08408729,146.911398,ALBURY WODONGA VOLUNTEER RESOURCE BUREAU INC,4-YZPMV5,Settlement Grants,Albury Wodonga Volunteer Resource Bureau Inc,596 Hume Street ALBURY NSW 2640
-42.88537479,147.3243214,ALCOHOL TOBACCO AND OTHER DRUG COUNCIL (TAS) INC,4-Y7MVR1,Community Development and Participation Grants,Alcohol Tobacco and other Drug Council (TAS),"Suite 1 Level 1, 175 Collins Street, HOBART TAS 7000"
-23.6974741,133.8888369,ALICE SPRINGS YOUTH ACCOMMODATION & SUPPORT SERVICES INC.,4-YI0CB3,Financial Crisis and Material Aid - Emergency Relief,Alice Springs Youth Accommodation & Support Service,"12 Undoolya Rd, EAST SIDE NT 0870"
-34.87673624,150.5980625,All Saints Community Care Incorporated,4-YEHXAW,Financial Crisis and Material Aid - Emergency Relief,ASCC Nowra,74 Osborne St NOWRA NSW 2541
-34.92303208,138.5767271,ALZHEIMER'S AUSTRALIA INC,4-YZSMHU,Existing and Emerging Challenges including Dementia Care,Alzheimer's Australia Inc,"22 Henley Beach Road, MILE END SA 5031"
-34.92303208,138.5767271,ALZHEIMER'S AUSTRALIA INC,4-YZSMXH,Capacity Building within Aged Care Services for the Delivery of High Quality Care,Alzheimer's Australia Inc,"22 Henley Beach Road, MILE END SA 5031"
-33.79888531,151.1267556,ALZHEIMER'S AUSTRALIA NSW,4-YZWSE4,Capacity Building within Aged Care Services for the Delivery of High Quality Care,Alzheimer's Australia NSW,"Building 21, 120 Coxs Road, NORTH RYDE NSW 2113"
-34.94210741,138.6332816,ALZHEIMERS AUSTRALIA SA INCORPORATED,4-YZZ4V9,Existing and Emerging Challenges including Dementia Care,Alzheimers Australia SA,"27 Conyngham Street, GLENSIDE SA 5065"
-32.93401,117.17293,Amity Health Limited trading as Amity Health,4-Z32JG6,Children and Parent Support Services,Kids Hub,Narrogin Primary School 22 Williams Rd NARROGIN WA 6312
-37.84511654,145.0440135,ANGLICAN AGED CARE SERVICES GROUP,4-YZZ55V,Promote Healthy and Active Ageing,Anglican Aged Care Services Group T/A Benetas,"Level 1, 789 Toorak Rd, HAWTHORN EAST VIC 3123"
-24.40007221,150.5110598,Anglicare Central Queensland,4-YEHXQ6,Financial Crisis and Material Aid - Emergency Relief,Biloela Emergency Relief,"Lot 108, 79 Kariboe Street BILOELA QLD 4715"
-23.44404842,144.2458326,Anglicare Central Queensland,4-YEHXQ6,Financial Crisis and Material Aid - Emergency Relief,Longreach Emergency Relief,"Lot 1, 15 Pelican Street LONGREACH QLD 4730"
-24.56847614,149.9753626,Anglicare Central Queensland,4-YEHXQ6,Financial Crisis and Material Aid - Emergency Relief,Moura Emergency Relief,Unit 3 3 Marshall St MOURA QLD 4718
-23.37856182,150.5148083,Anglicare Central Queensland,4-YEHXQ6,Financial Crisis and Material Aid - Emergency Relief,Rockhampton Emergency Relief,Shop 2 212 Quay St ROCKHAMPTON CITY QLD 4700
-22.38992849,143.0392725,Anglicare Central Queensland,4-YEHXQ6,Financial Crisis and Material Aid - Emergency Relief,Winton Emergency Relief,"Lot 1, 57 Elderslie Street WINTON QLD 4735"
-12.422841,130.854924,ANGLICARE N.T. LTD.,4-1QBRD34,Problem Gambling,ANGLICARE N.T. LTD.,"5 Nemarluk Drive, LUDMILLA NT 0820"
-12.422841,130.854924,ANGLICARE N.T. LTD.,4-1QC4REC,Financial Crisis and Material Aid - Emergency Relief,ANGLICARE N.T. LTD.,"5 Nemarluk Drive, LUDMILLA NT 0820"
-12.422841,130.854924,ANGLICARE N.T. LTD.,4-YZJT5Q,Settlement Grants,The Synod of the Diocese of the NT Inc,"5 Nemarluk Drive, LUDMILLA NT 0820"
-29.69114958,152.9343126,Anglicare North Coast,4-YGK1H1,Financial Crisis and Material Aid - Emergency Relief,Emergency Relief,7 Wiseman Way Grafton NSW 2460
-29.69114958,152.9343126,Anglicare North Coast,4-YQWSIZ,Problem Gambling,Financial Counselling - Problem Gambling,7 Wiseman Way Grafton NSW 2460
-35.12607691,147.3290058,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Ashmont Community Centre,Cnr Tobruk Street/Blakemore Ashmont WAGGA WAGGA NSW 2650
-35.27770904,149.1341661,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Club 12/25,Cnr Cooyong Street/Scotts Crossing Civic CANBERRA ACT 2601
-37.06501164,149.9057496,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Eden,"179, Imlay Street EDEN NSW 2551"
-34.75279908,149.7126129,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Goulburn,"130, Cowper Street GOULBURN NSW 2580"
-33.28133689,149.1010022,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Orange,127 Byng Street ORANGE NSW 2800
-32.79804824,149.9720799,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Rylstone/Kandos,45 Mudgee Street RYLSTONE NSW 2849
-35.2880033,149.1393026,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,St John's Care,"45, Constitution Avenue Reid CANBERRA ACT 2612"
-34.84049362,148.9139387,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Yass,Meehan Street YASS NSW 2582
-34.31463952,148.299533,"Anglicare NSW South, NSW West & ACT",4-YH7HJC,Financial Crisis and Material Aid - Emergency Relief,Young,"19, Cloete Street YOUNG NSW 2594"
-35.12607691,147.3290058,"Anglicare NSW South, NSW West & ACT",4-Z6A39O,Children and Parent Support Services,Ashmont Community Centre,Cnr Tobruk Street/Blakemore Ashmont WAGGA WAGGA NSW 2650
-33.28133689,149.1010022,"Anglicare NSW South, NSW West & ACT",4-Z6A39O,Children and Parent Support Services,Orange,127 Byng Street ORANGE NSW 2800
-34.89014525,138.5910506,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Daphne St Childcare Centre,26 Daphne Street Prospect SA 5082
-34.71530395,138.6681634,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Elizabeth Mission,91 Elizabeth Way ELIZABETH SA 5112
-34.6993832,138.6921886,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Elizabeth Rise Community Centre,"Shop 7, 34 Hamblynn Road ELIZABETH DOWNS SA 5113"
-34.90560732,138.5715911,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Hindmarsh,184 Port Road Hindmarsh SA 5007
-34.86352168,138.5895955,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Kilburn Community Centre,59 Gladstone Avenue Kilburn SA 5084
-34.9329956,138.5931409,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Magdalene Centre,35A Whitmore Square Adelaide SA 5000
-34.8591188,138.5610065,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Park Community Centre,2-46 Cowan Street ANGLE PARK SA 5010
-34.76381596,138.6465034,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Salisbury Old Rectory,9 Mary Street Salisbury SA 5108
-35.15400987,138.5141508,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Stable Chistian Centre,12 Birchenough Rd Huntfield Heights SA 5163
-35.1072722,138.5246625,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Stratfield,347 Main South Road Morphett Vale SA 5162
-34.85131409,138.5108295,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Tauondi College,1-29 Lipson Street PORT ADELAIDE SA 5015
-34.99689688,138.5757166,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,The Picket Fence,1167 South Road ST MARYS SA 5042
-34.90516199,138.5729652,Anglicare SA Inc,4-YHWVEF,Commonwealth Financial Counselling and Financial Capability,Western Hub,Unit 1 159 Port Rd HINDMARSH SA 5007
-34.28581147,140.599815,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,ac.care - Berri,7 Wilson Street Berri SA 5343
-37.59521934,140.3546557,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,ac.care - Millicent Community Centre,57-59 George Street MILLICENT SA 5280
-37.83179393,140.781001,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,ac.care - Mount Gambier Community Centre,22 Ferrers Street Mount Gambier SA 5290
-35.11545462,139.2917197,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,ac.care - Murray Bridge,11-22 Kennett Road MURRAY BRIDGE SA 5253
-34.18060589,139.9866496,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,ac.care - Waikerie Community Centre,1 Crush Terrace Waikerie SA 5330
-34.376398,137.672256,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,Chatt Centre,3 Robert St Maitland SA 5573
-34.71573597,138.6685368,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,Elizabeth Mission,91 Elizabeth Way ELIZABETH SA 5112
-34.9329956,138.5931409,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,Magdalene Centre,35A Whitmore Square Adelaide SA 5000
-34.76381596,138.6465034,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,Salisbury Old Rectory,9 Mary Street Salisbury SA 5108
-35.1224658,138.5244773,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,St Hillary's,1 William Street Morphett Vale SA 5162
-34.99689688,138.5757166,Anglicare SA Inc,4-YQIGPF,Financial Crisis and Material Aid - Emergency Relief,The Picket Fence,1167 South Road ST MARYS SA 5042
-33.02274554,137.5236074,Anglicare SA Inc,4-YQWSNL,Problem Gambling,Willochra,34-36 Galpin Street Whyalla Stuart SA 5608
-34.91283002,138.599014,ANGLICARE SA LTD,4-YB6G0I,Community Development and Participation Grants,Anglicare SA Inc,"18 King William Road, NORTH ADELAIDE SA 5006"
-41.05931094,145.9075748,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Anglicare Tasmania (Burnie),6 Strahan St South Burnie TAS 7320
-41.18105702,146.361161,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Anglicare Tasmania (Devonport),31 King St Devonport TAS 7310
-41.32007631,148.2494694,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Anglicare Tasmania (East Coast),56 Cecilia Street St. Helens TAS 7216
-41.44075411,147.1376918,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Anglicare Tasmania (Launceston),122 Elizabeth St Launceston TAS 7250
-42.78306385,147.5638391,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Anglicare Tasmania (Sorell),1 Fitzroy Street Sorell TAS 7172
-42.8830524,147.3239786,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Anglicare Tasmania Inc.,18 Watchorn St HOBART TAS 7000
-42.7249545,147.2294733,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Centrelink Bridgewater,Bridgewater BRIDGEWATER TAS 7030
-43.03138249,147.0497229,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Centrelink Huonville,1 Skinner Drive Huonville TAS 7109
-41.52328043,146.6497906,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Deloraine Neighbourhood House,112 Emu Bay Road DELORAINE TAS 7304
,,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Derwent Valley Community House,"The Avenue, Willow Court NEW NORFOLK TAS 7140"
-41.15712736,147.5175465,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Dorset Comminity House,3 Cameron Street Scottsdale TAS 7260
-41.1041536,146.8214805,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,George Town Hospital/Community Service,47 Anne Street George Town TAS 7253
-41.9264255,147.4932275,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Health and Comminity Centre (Campbell Town),70 High Street Campbell Town TAS 7210
-42.81202072,147.3417074,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Risdon Prison,672 East Derwent Highway Risdon Vale TAS 7016
-41.30508102,146.9511543,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Tresca Community Centre,39 Main Road Exeter TAS 7275
-40.84235058,145.1274984,Anglicare Tasmania Inc.,4-YI84EY,Commonwealth Financial Counselling and Financial Capability,Wyndarra Community and Resource Centre,43 Smith Street Smithton TAS 7330
-42.8830524,147.3239786,Anglicare Tasmania Inc.,4-YQWSS4,Problem Gambling,Anglicare Tasmania Inc.,18 Watchorn St HOBART TAS 7000
-42.8830524,147.3239786,Anglicare Tasmania Inc.,4-YQX75W,Financial Counselling Helpline,Anglicare Tasmania Inc.,18 Watchorn St HOBART TAS 7000
-42.8830524,147.3239786,Anglicare Tasmania Inc.,4-YZ4PXS,"Community Mental Health, Early Intervention for Children, Young People and their Families",Anglicare Tasmania Inc.,18 Watchorn St HOBART TAS 7000
-41.18105702,146.361161,Anglicare Tasmania Inc.,4-Z3JT22,Children and Parent Support Services,Anglicare Tasmania (Devonport),31 King St Devonport TAS 7310
,,ANGLICARE VICTORIA,4-1RI9JDT,Community Development and Participation Grants,Anglicare Victoria,"103 Hoddle Street, COLLINGWOOD VIC 3066"
,,ANGLICARE VICTORIA,4-YIRKFM,Commonwealth Financial Counselling and Financial Capability,Anglicare Victoria,"103 Hoddle Street, COLLINGWOOD VIC 3066"
-38.559779,146.677093,ANGLICARE VICTORIA,4-YIRKFM,Commonwealth Financial Counselling and Financial Capability,Bakers Centre,"121 Commercial Road, YARRAM VIC 3971"
-38.43894278,145.822372,ANGLICARE VICTORIA,4-YIRKFM,Commonwealth Financial Counselling and Financial Capability,Milpara Community House Inc Korumburra,"21 Shellcotts Road, KORUMBURRA VIC 3950"
,,ANGLICARE VICTORIA,4-YQWMRE,Financial Crisis and Material Aid - Emergency Relief,Anglicare Victoria,"103 Hoddle Street, COLLINGWOOD VIC 3066"
-38.3132533,146.422094,ANGLICARE VICTORIA,4-Z3GQJW,Children and Parent Support Services,Churchill Community Centre,"9-11 Philip Parade, CHURCHILL VIC 3842"
-38.30414844,146.4162904,ANGLICARE VICTORIA,4-Z3GQJW,Children and Parent Support Services,Churchill North Primary School,"32 Coolabah Drive, CHURCHILL VIC 3842"
-38.23482633,146.3993428,ANGLICARE VICTORIA,4-Z3GQJW,Children and Parent Support Services,Main Office in Morwell,"65 Church Street, MORWELL VIC 3840"
-37.748528,144.965128,ARABIC WELFARE INCORPORATED,4-XB6872,Diversity and Social Cohesion,Arabic Welfare Incorporated,"Level 1 Moreland Community Enterprise Centre, 233 Sydney Road, COBURG VIC 3058"
-37.68320568,144.9207902,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Anglicare Broadmeadows,32 Railway Cresent Broadmeadows VIC 3047
-37.68012632,144.9102904,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Collingwood English Language School,"80 Johnstone street, Broadmeadows VIC 3047"
-37.60842788,144.9360801,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Craigeburn Secondary College,102 Hothlyn Drive CRAIGEBURN VIC 3064
-37.621523,144.935199,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Good Samaritan Primary School,1-29 Southern Cross Drive ROXBURGH PARK VIC 3064
-37.67961841,144.928653,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Hume Central Language Centre,64-70 blair street broadmeadows VIC 3047
-37.68043889,144.9152957,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Hume Central Secondary College - Town Park Campus,60-78 Tanderrum Way Broadmeadows VIC 3047
-37.67961841,144.928653,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Hume Central Secondary College- Blair Street Campu,62-70 Blair Street BROADMEADOWS VIC 3047
-37.67991821,144.9134412,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Hume Central Secondary Collge- Dimboola Campus,30-54 Dimboola Road BROADMEADOWS VIC 3047
-37.68325423,144.9136892,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Kangan Broadmeadows,1-3 Pearcedale Parade BROADMEADOWS VIC 3047
-37.771844,144.961095,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Main Office - Brunswick,"Level 1, 233 Sydney Road BRUNSWICK VIC 3056"
-37.65214955,144.9212178,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Meadow Heights Education Centre,3-13 Hudson Circuit Meadow Heights VIC 3048
-37.68090719,144.9363213,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Melbourne Polytechnic Broadmeadows,1-15 Belfast St BROADMEADOWS VIC 3047
-37.6539995,145.0337083,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Melbourne Polytechnic Epping,1 Cooper St Epping VIC 3076
-37.5985879,144.9303908,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Our Lady's Primary School Craigeburn,169 Craigieburn Rd CRAIGIEBURN VIC 3064
-37.63054417,144.9297581,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Roxburgh College,60-70 Donald Cameron Drive ROXBURGH PARK VIC 3064
-37.63020428,144.9308903,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Roxburgh Park Youth Centre,75 Lakeside drive Roxburgh Park VIC 3064
-37.67973787,144.9173353,ARABIC WELFARE INCORPORATED,4-YUHDKS,Settlement Grants,Youth Central Broadmeadows,33-37 Pearcedale Parade Broadmeadows VIC 3047
-37.28333228,142.9267058,Ararat Emergency Relief Committee,4-1C527CY,Financial Crisis and Material Aid - Emergency Relief,Anglican Church Of Australia Ararat Parish,47 High Street ARARAT VIC 3377
-37.28318409,142.9361619,Ararat Emergency Relief Committee,4-1C527CY,Financial Crisis and Material Aid - Emergency Relief,Church of Christ Ararat,88 High Street ARARAT VIC 3377
-37.27947135,142.9307259,Ararat Emergency Relief Committee,4-1C527CY,Financial Crisis and Material Aid - Emergency Relief,Salvation Army Ararat Corp,87 Vincent Street ARARAT VIC 3377
-37.28419533,142.9378347,Ararat Emergency Relief Committee,4-1C527CY,Financial Crisis and Material Aid - Emergency Relief,Uniting Church Ararat,279 Barkly Street ARARAT VIC 3377
-30.51457163,151.6663312,ARMIDALE NEIGHBOURHOOD CENTRE INC,4-YFLQ1F,Financial Crisis and Material Aid - Emergency Relief,Armidale Neighbourhood Centre Incorporated,"Old Council Building, 129 Rusden Street, ARMIDALE NSW 2350"
-33.92374468,151.0348221,Asian Women at Work Inc,4-YYLBJ1,Settlement Grants,Asian Women at Work Inc Bankstown Office,114 Restwell St BANKSTOWN NSW 2200
-33.84490328,151.0342011,Asian Women at Work Inc,4-YYLBJ1,Settlement Grants,Auburn Outlet,44A Macquarie Rd Auburn NSW 2144
-33.89414888,150.940082,Asian Women at Work Inc,4-YYLBJ1,Settlement Grants,Cabramatta Outreach,16 Fisher St CABRAMATTA NSW 2166
-33.96761946,151.1065861,Asian Women at Work Inc,4-YYLBJ1,Settlement Grants,Hurstville Outreach 1,143 Forest Rd HURSTVILLE NSW 2220
-33.96535967,151.1022018,Asian Women at Work Inc,4-YYLBJ1,Settlement Grants,Hurstville Outreach 2,31 McMahon St HURSTVILLE NSW 2220
-31.94468,115.86633,Association for Services to Torture and Trauma Survivors,4-YYRDIA,Settlement Grants,ASeTTS Head Office,286 Beaufort Street Perth WA 6000
